Open,High,Low,Close,Adj_Close,Volume
49.676899,51.693783,47.669952,49.845802,49.845802,44994500
50.178635,54.187561,49.925285,53.80505,53.80505,23005800
55.017166,56.373344,54.172661,54.346527,54.346527,18393200
55.260582,55.439419,51.450363,52.096165,52.096165,15361800
52.140873,53.651051,51.604362,52.657513,52.657513,9257400
52.135906,53.626213,51.991844,53.606342,53.606342,7148200
53.700729,53.959049,52.503513,52.732029,52.732029,6258300
52.299839,52.40416,50.675404,50.675404,50.675404,5235700
50.819469,51.519913,50.74992,50.85424,50.85424,4954800
51.018177,51.152302,49.512966,49.80109,49.80109,9206800
49.274517,50.85424,49.150326,50.427021,50.427021,15232100
50.14883,50.541279,49.339096,49.681866,49.681866,5191000
50.178635,50.670437,49.483158,50.461796,50.461796,5891300
50.04451,51.18211,49.925285,50.819469,50.819469,5023000
50.933723,51.023144,50.173668,50.824436,50.824436,4092100
50.471729,52.935703,50.322701,52.324677,52.324677,8764200
52.970478,53.854729,52.886028,53.402668,53.402668,7902900
53.377831,55.638126,53.049961,55.384777,55.384777,10910200
54.922779,56.745922,54.743942,55.638126,55.638126,10793500
55.80703,57.525848,55.46426,56.616764,56.616764,9335800
56.840309,58.365391,56.408119,58.365391,58.365391,9543500
58.097134,60.407108,58.007717,59.294346,59.294346,10708500
59.517895,59.820923,58.375324,58.539257,58.539257,7282900
58.320679,59.448345,58.027588,58.807514,58.807514,7638000
59.036026,60.918781,58.131908,60.01963,60.01963,8599600
60.079243,61.649033,59.493053,59.527828,59.527828,9191900
59.3937,60.049435,58.519386,58.747902,58.747902,7119100
60.25808,63.288372,59.716602,63.020115,63.020115,17056100
62.940632,67.073753,62.70715,65.116478,65.116478,30745600
64.530296,65.722542,64.083199,64.381264,64.381264,13861300
64.977386,66.686272,64.033524,65.861633,65.861633,15238400
67.188004,67.992775,66.581947,67.09362,67.09362,13120500
66.894913,68.817406,65.692734,68.737923,68.737923,15085500
68.330574,68.777664,67.560585,68.097092,68.097092,13481800
68.017609,69.488045,67.833809,68.976372,68.976372,14221000
68.911797,69.388695,68.067291,68.419991,68.419991,11152500
68.05735,68.981346,66.492531,67.192978,67.192978,10550700
66.785622,68.360382,66.268982,68.256058,68.256058,11753000
71.19693,71.311188,69.587402,69.994751,69.994751,19914500
70.049393,70.729973,68.832314,70.541199,70.541199,10520500
71.996727,72.279892,70.516357,71.589378,71.589378,13293800
71.137321,74.117935,70.14875,74.098061,74.098061,14141700
74.763733,75.707596,73.198914,73.492004,73.492004,18245900
73.536713,74.013611,69.348953,69.791077,69.791077,22893300
71.733444,74.579933,70.352425,74.207352,74.207352,29368600
84.718987,89.502869,81.509857,85.657875,85.657875,74263500
87.630051,96.5868,85.717491,93.094513,93.094513,65954500
92.567932,95.697578,89.418419,90.312607,90.312607,44904300
90.76963,94.147659,90.297699,92.384132,92.384132,26886700
92.736839,96.566925,92.200325,96.025444,96.025444,29886600
98.802383,99.328964,94.684174,94.704041,94.704041,42600200
96.149643,98.196327,95.017006,97.38163,97.38163,24608700
98.747742,98.981224,96.045319,96.805374,96.805374,22840000
98.449677,100.148628,94.758682,95.215714,95.215714,27957900
93.611153,94.584816,91.082596,91.753235,91.753235,29006600
90.402023,90.560989,83.730415,84.127831,84.127831,39924100
84.912727,87.153152,84.152664,85.717491,85.717491,22529100
86.48748,87.033928,82.101013,83.804932,83.804932,22272300
84.783562,85.702591,82.627586,83.387642,83.387642,21426400
84.018539,91.281303,83.243584,90.918663,90.918663,30165800
92.016518,94.286758,88.126823,90.411957,90.411957,33709900
89.641968,93.551537,88.797455,91.837685,91.837685,23957800
88.176498,89.155128,84.863045,85.712524,85.712524,42106800
83.963898,88.176498,83.953957,85.69265,85.69265,36501500
84.594795,86.646446,82.329529,83.228676,83.228676,33475500
84.003639,84.440796,82.72197,84.152664,84.152664,17652600
81.703598,84.202347,80.133804,82.016563,82.016563,24897200
83.442291,84.863045,82.712036,83.218742,83.218742,24988000
86.845154,88.032433,85.697617,86.815353,86.815353,30760600
87.331993,89.433319,87.093544,89.115387,89.115387,13044400
89.59726,90.883888,88.181465,89.940025,89.940025,21471900
89.771126,90.90873,89.54261,90.402023,90.402023,15500000
90.387115,90.660339,89.19487,89.398552,89.398552,15830400
89.368744,90.168541,88.698105,89.120361,89.120361,12603200
89.393578,89.944992,88.226173,89.617126,89.617126,11814600
88.986229,89.766159,87.441277,87.575409,87.575409,12589300
87.431343,87.530701,84.723953,85.16111,85.16111,13831100
84.624596,86.278839,83.819832,84.440796,84.440796,15181600
84.574921,86.189423,83.690674,86.154648,86.154648,15407500
86.154648,86.874962,85.09156,85.270401,85.270401,8690500
85.528717,86.030457,84.177505,84.674278,84.674278,9699800
84.947502,88.83223,84.252022,88.767654,88.767654,22320900
88.419914,89.761192,87.759209,89.309128,89.309128,23091100
87.903275,89.661835,87.406502,87.664825,87.664825,17257000
87.808891,89.666801,87.704567,89.45816,89.45816,14868300
90.411957,93.621086,90.347374,91.912201,91.912201,19796800
92.553032,93.332962,91.107437,91.281303,91.281303,11104300
91.35582,92.821289,90.913696,92.548065,92.548065,7864700
